Title;Author;Price;Url
ТОП-КАДР.  Как воспитать лучших продажников и занять...;Колотилов Е.;1020 р.;https://www.piter.com/collection/biznes-literatura/product/top-kadr-kak-vospitat-luchshih-prodazhnikov-i-zanyat-post-seo
Бизнес-анализ: 25(не)классических методов. Все не та...;;1188 р.;https://www.piter.com/collection/biznes-literatura/product/biznes-analiz-25neklassicheskih-metodov-vse-ne-tak-kak-kazhetsya
Копирайтинг. Простые рецепты продающих текстов. 3-е ...;Асланов Т.;791 р.;https://www.piter.com/collection/biznes-literatura/product/kopirayting-prostye-retsepty-prodayuschih-tekstov-3-e-izd-2
Закупки на 100%. Опыт 350 компаний в снижении цен и ...;Дубовик С.;1439 р.;https://www.piter.com/collection/biznes-literatura/product/zakupki-na-100-opyt-350-kompaniy-v-snizhenii-tsen-i-poluchenii-luchshih-usloviy-u-slozhnyh-postavschikov
Организационное саморазвитие. Взрывной подъем качест...;Теслинов А.;399 р.;https://www.piter.com/collection/biznes-literatura/product/organizatsionnoe-samorazvitie-vzryvnoy-podem-kachestva-deyatelnosti
Ген богатства;Ходченков Е.;1320 р.;https://www.piter.com/collection/biznes-literatura/product/gen-bogatstva
Тонкие настройки руководителя. Путеводитель по разви...;Киселева М.;450 р.;https://www.piter.com/collection/biznes-literatura/product/tonkie-nastroyki-rukovoditelya-putevoditel-po-razvitiyu-soft-skills
Как продавать в большие компании. Краткое руководств...;Колотилов Е.;834 р.;https://www.piter.com/collection/biznes-literatura/product/kak-prodavat-v-bolshie-kompanii-kratkoe-rukovodstvo-dlya-malogo-biznesa
Ножницы: как угробить дизайнерский бизнес. 43 вредны...;Федорченко И.;675 р.;https://www.piter.com/collection/biznes-literatura/product/nozhnitsy-kak-ugrobit-dizaynerskiy-biznes-43-vrednyh-soveta
PRO копирайтинг. Как продать кота;Кот;708 р.;https://www.piter.com/collection/biznes-literatura/product/pro-kopirayting-kak-prodat-kota
Бухгалтерский учет за 14 дней. Экспресс-курс. Новое,...;Молчанов С.;1068 р.;https://www.piter.com/collection/biznes-literatura/product/buhgalterskiy-uchet-za-14-dney-ekspress-kurs-novoe-14-e-izd
Лин-финансовый директор: Архитектор системы Лин-мене...;Катко;1170 р.;https://www.piter.com/collection/biznes-literatura/product/lin-finansovyy-direktor-arhitektor-sistemy-lin-menedzhmenta
Fashion-ритейл: 100 секретных вопросов об управлении;Вешнякова Ю.;780 р.;https://www.piter.com/collection/biznes-literatura/product/fashion-riteyl-100-sekretnyh-voprosov-ob-upravlenii
Модель Z. Как продать бизнес за реально большие деньги;;900 р.;https://www.piter.com/collection/biznes-literatura/product/model-z-kak-prodat-biznes-za-realno-bolshie-dengi
ТетаХилинг. Универсальная система достижения результ...;Сенаторов А.;540 р.;https://www.piter.com/collection/biznes-literatura/product/tetahiling-universalnaya-sistema-dostizheniya-rezultatov
Retailing для русскоговорящих: управление предприяти...;Тверской М.;900 р.;https://www.piter.com/collection/biznes-literatura/product/retailing-dlya-russkogovoryaschih-upravlenie-predpriyatiem-roznichnoy-torgovli
Охотник за успехом: как достичь своей цели;Василенко Р.;696 р.;https://www.piter.com/collection/biznes-literatura/product/ohotnik-za-uspehom-kak-dostich-svoey-tseli
Бизнес-Куб. Как прокачать объемное мышление и вывест...;Змановский А.;720 р.;https://www.piter.com/collection/biznes-literatura/product/biznes-kub-kak-prokachat-obemnoe-myshlenie-i-vyvesti-kompaniyu-na-novyy-uroven
Дизайн-мышление: канвасы и упражнения. Полный набор ...;Леврик;1590 р.;https://www.piter.com/collection/biznes-literatura/product/dizayn-myshlenie-kanvasy-i-uprazhneniya-polnyy-nabor-instrumentov
PR по-азиатски. Честно о коммуникациях в Центральной...;Колесниченко О.;540 р.;https://www.piter.com/collection/biznes-literatura/product/pr-po-aziatski-chestno-o-kommunikatsiyah-v-tsentralnoy-azii
Мифы и правда о MBTI и корпоративной культуре. Как у...;Вишнякова М.;540 р.;https://www.piter.com/collection/biznes-literatura/product/mify-i-pravda-o-mbti-i-korporativnoy-kulture-kak-upravlyat-soboy-i-drugimi
Мерчандайзинг. Эффективное управление в розничной то...;Сысоева С.;1098 р.;https://www.piter.com/collection/biznes-literatura/product/merchandayzing-effektivnoe-upravlenie-v-roznichnoy-torgovle
Enter-навык. Как достигать большего, убеждая словом;Файзиева Д.;654 р.;https://www.piter.com/collection/biznes-literatura/product/enter-navyk-kak-dostigat-bolshego-ubezhdaya-slovom
