Title;Author;Price;Url
Один день в гостях у волшебницы. Первая книга малень...;Шлик;719 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/odin-den-v-gostyah-u-volshebnitsy-pervaya-kniga-malenkoy-charodeyki
"Детективное агентство ""Сахарный пончик"". Секрет семь...";Пикина А.;479 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/detektivnoe-agentstvo-saharnyy-ponchik-sekret-semi-gastings
Моя самая красивая книга о кошках и собаках;Риха;659 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/moya-samaya-krasivaya-kniga-o-koshkah-i-sobakah-2
Мальчики VS Девочки. Детские вопросы про стереотипы!;Дюваль;690 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/malchiki-vs-devochki-detskie-voprosy-pro-stereotipy-2
Роза Фалви и волшебник в саду;Фарнаби;599 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/roza-falvi-i-volshebnik-v-sadu
Дружные братишки Прыг и Шмыг! Логопедические сказки....;Хворост А.;462 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/druzhnye-bratishki-pryg-i-shmyg-logopedicheskie-skazki-videourok-ot-logopeda-vnutri-pod-qr-kodom
Будь с собой. Книга заботы о ментальном здоровье;Пак;575 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/bud-s-soboy-kniga-zaboty-o-mentalnom-zdorovie
Приключения мышонка Недо на Ладоге. Географические с...;Кретова К.;599 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/priklyucheniya-myshonka-nedo-na-ladoge-geograficheskie-skazki
Во что играть с детьми? 30 эффективных минут с вашим...;Нагано;503 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/vo-chto-igrat-s-detmi-30-effektivnyh-minut-s-vashim-rebenkom-sekrety-yaponskogo-vospitaniya
Я не боюсь темноты! Книга-игра по работе с эмоциями;Томи;498 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/ya-ne-boyus-temnoty-kniga-igra-po-rabote-s-emotsiyami
Бобёр Боря-следопыт! Спасаем планету. Книжка подгото...;Рамке И.;450 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/bobyor-borya-sledopyt-spasaem-planetu-knizhka-podgotovishki
Петронелла и ледяная магия;Штэдинг;419 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/petronella-ledyanaya-magiya-i-gornye-duhi
Любопытный енотик Тим! Почему Земля круглая, внутри ...;Дороченкова М.;534 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/lyubopytnyy-enotik-tim-pochemu-zemlya-kruglaya-vnutri-goryachaya-a-snaruzhi-nerovnaya-knizhka-podgotovishki
Не хочу учиться! Саша Пушкин;Григорьева;431 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/ne-hochu-uchitsya-sasha-pushkin
Я всё сам! Петя Первый;Григорьева;431 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/ya-vsyo-sam-petya-pervyy
Крошка Букашка всем помогает! Сказки про дружбу. Кни...;Зартайская И.;498 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/kroshka-bukashka-vsem-pomogaet-skazki-pro-druzhbu-kniga-dlya-pervogo-chteniya
Сестра лучше, чем все карусели мира;Кретова К.;594 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/sestra-luchshe-chem-vse-karuseli-mira
Мужчина в доме. Ленинградская повесть (аудиокнига);Кругосветов;199 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/muzhchina-v-dome-leningradskaya-povest-audiokniga
Зайчик Сева потерялся! Полезные сказки;Герман;407 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/zaychik-seva-poteryalsya-poleznye-skazki-2
Зайчик Сева не хочет идти в детский сад! Полезные ск...;Ласточкина;407 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/zaychik-seva-ne-hochet-idti-v-detskiy-sad-poleznye-skazki
Зайчик Сева делится с друзьями! Полезные сказки;Герман;407 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/zaychik-seva-delitsya-s-druzyami-poleznye-skazki-2
Развиваем интеллект. Тренажёр по скорочтению;Копыльцова Т.;683 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/razvivaem-intellekt-trenazhyor-po-skorochteniyu
Хоккейные FUNты СКА;;264 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/hokkeynye-funty-ska
Секреты старого особняка;Кретова К.;1200 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/sekrety-starogo-osobnyaka
Как Ветерок всем помогал. Логопедические сказки. Вид...;Коваль Т.;377 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/kak-veterok-vsem-pomogal-logopedicheskie-skazki-videozanyatie-s-logopedom-vnutri-pod-qr-kodom
Про наших соседей - от муравьёв до медведей! Логопед...;Коваль Т.;414 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/pro-nashih-sosedey-ot-muraviev-do-medvedey-logopedicheskie-stihi-dlya-samyh-malenkih-videozanyatie-s-logopedom-vnutri
Я завёл себе кита! Книга для первого чтения;Весова;335 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/ya-zavyol-sebe-kita-kniga-dlya-pervogo-chteniya
Удивительные истории из жизни Необыкновенного Мышонка;Первухин А.;390 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/udivitelnye-istorii-iz-zhizni-neobyknovennogo-myshonka
Домашка на отлично! Программа начальной школы за 20 ...;Чебаненко В.;527 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/domashka-na-otlichno-programma-nachalnoy-shkoly-za-20-minut-v-den-tablitsa-umnozheniya-figury-logika
Приключения мышонка Недо в Санкт-Петербурге, или Кве...;Кретова К.;599 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/priklyucheniya-myshonka-nedo-v-sankt-peterburge-ili-kvest-konya-aleksandra-nevskogo-geograficheskie-skazki
Улётная команда в космосе. Почему Луна светится ночь...;Пикина А.;479 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/ulyotnaya-komanda-v-kosmose-pochemu-luna-svetitsya-nochyu-chto-takoe-sila-prityazheniya-i-skolko-planet-vo-vselennoy
Загадайки. Книжка-смешинка;Юдина А.;468 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/zagadayki-knizhka-smeshinka
Природа России: от Арктики до пустыни. Моё первое пу...;Валягина-Малютина Е.;474 р.;https://www.piter.com/collection/detskaya-literatura-igry/product/priroda-rossii-ot-arktiki-do-pustyni-moyo-pervoe-puteshestvie
