Title;Author;Price;Url
100 главных принципов дизайна. 2-е издание;Уэйншенк;1307 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/100-glavnyh-printsipov-dizayna-2-e-izdanie
3ds Max Design 2014. Дизайн интерьеров и архитектуры;Миловская О.;428 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/3ds-max-design-2014-dizayn-interierov-i-arhitektury
3D-рисование. Гиперреализм;Пабст;;https://www.piter.com/collection/iskusstvo-i-kultura/product/3d-risovanie-giperrealizm
7 простых уроков рисования;Барбер;450 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/7-prostyh-urokov-risovaniya
Death Stranding. Часть 1;Кодзима;671 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/death-stranding-chast-1
Death Stranding. Часть 2;Кодзима;671 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/death-stranding-chast-2
Fashion блокнот;;143 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/fashion-bloknot
Академический рисунок;Ростовцев Н.;767 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/akademicheskiy-risunok
Блокнот дизайнера;;140 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/bloknot-dizaynera
Большая книга цифровой фотографии. 2-е издание;Симонович С.;573 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/bolshaya-kniga-tsifrovoy-fotografii-2-e-izdanie
Будь с собой. Книга заботы о ментальном здоровье;Пак;575 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/bud-s-soboy-kniga-zaboty-o-mentalnom-zdorovie
Веб-дизайн для недизайнеров;Осборн;1188 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/veb-dizayn-dlya-nedizaynerov
В окопах. Графический роман;Та;1451 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/v-okopah-graficheskiy-roman
Вселенная видеоигр. Документальный блокбастер от раз...;Полфельдт;835 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/vselennaya-videoigr-dokumentalnyy-blokbaster-ot-razrabotchika-the-division-far-cry-3-i-assassins-creed-revelations
Глубокое обучение с fastai и PyTorch: минимум формул...;Ховард;1775 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/glubokoe-obuchenie-s-fastai-i-pytorch-minimum-formul-minimum-koda-maksimum-effektivnosti
Джокер. Безумный король преступного мира;Лэнгли;1002 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/dzhoker-bezumnyy-korol-prestupnogo-mira
Дизайн. Книга для недизайнеров. 4-е изд.;Уильямс ;1140 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/dizayn-kniga-dlya-nedizaynerov-4-e-izd
Дизайн персонажей-животных. Концепт-арт для комиксов...;3d Total Publish;2274 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/dizayn-personazhey-zhivotnyh-kontsept-art-dlya-komiksov-videoigr-i-animatsii
Дизайн существ и персонажей. Как создать портфолио к...;Холмс;2274 р.;https://www.piter.com/collection/iskusstvo-i-kultura/product/dizayn-suschestv-i-personazhey-kak-sozdat-portfolio-kontsept-hudozhnika
