Title;Author;Price;Url
Игровой движок. Программирование и внутреннее устрой...;Грегори;4620 р.;https://www.piter.com/collection/kompyutery-i-internet/product/arhitektura-igrovogo-dvizhka-programmirovanie-i-vnutrennee-ustroystvo-tretie-izdanie
Scala. Профессиональное программирование. 4-е изд.;Одерски;4511 р.;https://www.piter.com/collection/kompyutery-i-internet/product/scala-professionalnoe-programmirovanie-4-e-izd
Linux API. Исчерпывающее руководство;Керриск;3984 р.;https://www.piter.com/collection/kompyutery-i-internet/product/linux-api-ischerpyvayuschee-rukovodstvo
Golang для профи: работа с сетью, многопоточность, с...;Цукалос;3745 р.;https://www.piter.com/collection/kompyutery-i-internet/product/golang-dlya-profi-rabota-s-setyu-mnogopotochnost-struktury-dannyh-i-mashinnoe-obuchenie-s-go
Svelte и Sapper в действии;Волкманн ;3551 р.;https://www.piter.com/collection/kompyutery-i-internet/product/svelte-i-sapper-v-deystvii
Программируем на C# 8.0. Разработка приложений;Гриффитс;3468 р.;https://www.piter.com/collection/kompyutery-i-internet/product/izuchaem-c-80-razrabotka-prilozheniy
Библия Linux. 10-е издание;Негус;3431 р.;https://www.piter.com/collection/kompyutery-i-internet/product/bibliya-linux-10-e-izdanie
Python для сетевых инженеров. Автоматизация сети, пр...;Чоу;3228 р.;https://www.piter.com/collection/kompyutery-i-internet/product/python-dlya-setevyh-inzhenerov-avtomatizatsiya-seti-programmirovanie-i-devops
Linux. Книга рецептов. 2-е изд.;Шрёдер;3191 р.;https://www.piter.com/collection/kompyutery-i-internet/product/linux-kniga-retseptov-2-e-izd
JavaScript для глубокого обучения: TensorFlow.js;Шолле;2999 р.;https://www.piter.com/collection/kompyutery-i-internet/product/javascript-dlya-glubokogo-obucheniya-tensorflowjs
C# 9 и .NET 5. Разработка и оптимизация;Прайс;599 р.;https://www.piter.com/collection/kompyutery-i-internet/product/c-9-i-net-5-razrabotka-i-optimizatsiya
Работа с ядром Windows;Йосифович;2904 р.;https://www.piter.com/collection/kompyutery-i-internet/product/rabota-s-yadrom-windows
Программирование на Rust;Клабник;2890 р.;https://www.piter.com/collection/kompyutery-i-internet/product/programmirovanie-na-rust
C++ для профи;Лоспинозо;2759 р.;https://www.piter.com/collection/kompyutery-i-internet/product/c-dlya-profi
Unity и C#. Геймдев от идеи до реализации. 2-е изд.;Бонд;2729 р.;https://www.piter.com/collection/kompyutery-i-internet/product/unity-i-c-geymdev-ot-idei-do-realizatsii-2-e-izd
Head First. Kotlin;Гриффитс;2640 р.;https://www.piter.com/collection/kompyutery-i-internet/product/head-first-kotlin
Head First. Изучаем Go;Макгаврен;550 р.;https://www.piter.com/collection/kompyutery-i-internet/product/head-first-izuchaem-go
3D-моделирование в КОМПАС-3D версий V17 и выше. Учеб...;Большаков В.;499 р.;https://www.piter.com/collection/kompyutery-i-internet/product/3d-modelirovanie-v-kompas-3d-versiy-v17-i-vyshe-uchebnoe-posobie-dlya-vuzov
Высоконагруженные приложения. Программирование, масш...;Клеппман ;2506 р.;https://www.piter.com/collection/kompyutery-i-internet/product/vysokonagruzhennye-prilozheniya-programmirovanie-masshtabirovanie-podderzhka
Машинное обучение на R: экспертные техники для прогн...;Ланц;2462 р.;https://www.piter.com/collection/kompyutery-i-internet/product/mashinnoe-obuchenie-na-r-ekspertnye-tehniki-dlya-prognosticheskogo-analiza
Современные операционные системы. 4-е изд.;Таненбаум Э.;2460 р.;https://www.piter.com/collection/kompyutery-i-internet/product/sovremennye-operatsionnye-sistemy-4-e-izd-2
Head First. Изучаем C#. 4-е изд.;Стиллмен;2460 р.;https://www.piter.com/collection/kompyutery-i-internet/product/head-first-izuchaem-c-4-e-izd
PyTorch. Освещая глубокое обучение;Стивенс;2460 р.;https://www.piter.com/collection/kompyutery-i-internet/product/pytorch-osveschaya-glubokoe-obuchenie
